Rounds,Depth,mcw,r_sample,c_sample,eta,scale_pos_weight,auc_max,std,best_round
3000,4,1,0.7,0.7,0.05,1,0.840793,0.014522,161.2
3000,4,1,0.7,0.7,0.05,2,0.8402034,0.014575,166.2
3000,4,1,0.7,0.7,0.05,3,0.8405738,0.0146434,134.2
3000,4,1,0.7,0.7,0.01,1,0.8415058,0.0144676,998
3000,4,1,0.7,0.7,0.01,2,0.8412916,0.0148042,913.6
3000,4,1,0.7,0.7,0.01,3,0.8409952,0.0147388,857.4
3000,4,1,0.7,0.7,0.005,1,0.8413392,0.0147144,1706
3000,4,1,0.7,0.7,0.005,2,0.841415,0.0149182,1670.8
3000,4,1,0.7,0.7,0.005,3,0.841296,0.0150012,1695.7
3000,4,1,0.8,0.5,0.05,1,0.8404298,0.0146742,169.4
3000,4,1,0.8,0.5,0.05,2,0.840597,0.0141616,162.2
3000,4,1,0.8,0.5,0.05,3,0.8406026,0.0142064,146.2
3000,4,1,0.8,0.5,0.01,1,0.8412272,0.0144716,920.666666666667
3000,4,1,0.8,0.5,0.01,2,0.8413182,0.0144274,877.6
3000,4,1,0.8,0.5,0.01,3,0.8412122,0.0142604,926
3000,4,1,0.8,0.5,0.005,1,0.8412656,0.014782,1670.2
