Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
500,5,0.85,0.8,0.01,10,0.841327,495
500,5,0.85,0.8,0.01,24.2726063829787,0.840591,445
500,5,0.85,0.8,0.005,0.8,0.834817,500
500,5,0.85,0.8,0.005,1,0.835747,500
500,5,0.85,0.8,0.005,10,0.840123,500
500,5,0.85,0.8,0.005,24.2726063829787,0.839986,500
500,5,0.85,0.85,0.05,0.8,0.840601,138
500,5,0.85,0.85,0.05,1,0.840907,161
500,5,0.85,0.85,0.05,10,0.840215,119
500,5,0.85,0.85,0.05,24.2726063829787,0.839224,73
500,5,0.85,0.85,0.01,0.8,0.840312,500
500,5,0.85,0.85,0.01,1,0.84049,500
500,5,0.85,0.85,0.01,10,0.841117,482
500,5,0.85,0.85,0.01,24.2726063829787,0.840352,456
500,5,0.85,0.85,0.005,0.8,0.834936,499
500,5,0.85,0.85,0.005,1,0.835784,500
500,5,0.85,0.85,0.005,10,0.839924,500
500,5,0.85,0.85,0.005,24.2726063829787,0.839762,491
500,6,0.65,0.75,0.05,0.8,0.840819,157
500,6,0.65,0.75,0.05,1,0.84157,126
500,6,0.65,0.75,0.05,10,0.840002,71
500,6,0.65,0.75,0.05,24.2726063829787,0.837945,64
500,6,0.65,0.75,0.01,0.8,0.841363,500
500,6,0.65,0.75,0.01,1,0.841459,500
500,6,0.65,0.75,0.01,10,0.841153,294
500,6,0.65,0.75,0.01,24.2726063829787,0.839626,322
500,6,0.65,0.75,0.005,0.8,0.835976,500
500,6,0.65,0.75,0.005,1,0.837101,500
500,6,0.65,0.75,0.005,10,0.840907,500
500,6,0.65,0.75,0.005,24.2726063829787,0.839494,497
500,6,0.65,0.8,0.05,0.8,0.841218,113
500,6,0.65,0.8,0.05,1,0.84126,113
500,6,0.65,0.8,0.05,10,0.840457,71
500,6,0.65,0.8,0.05,24.2726063829787,0.838472,44
500,6,0.65,0.8,0.01,0.8,0.841184,500
500,6,0.65,0.8,0.01,1,0.841412,500
500,6,0.65,0.8,0.01,10,0.840725,295
500,6,0.65,0.8,0.01,24.2726063829787,0.839307,300
500,6,0.65,0.8,0.005,0.8,0.836578,500
500,6,0.65,0.8,0.005,1,0.837444,500
500,6,0.65,0.8,0.005,10,0.840693,477
500,6,0.65,0.8,0.005,24.2726063829787,0.839357,500
500,6,0.65,0.85,0.05,0.8,0.840993,126
500,6,0.65,0.85,0.05,1,0.840796,137
500,6,0.65,0.85,0.05,10,0.83992,67
500,6,0.65,0.85,0.05,24.2726063829787,0.837624,35
500,6,0.65,0.85,0.01,0.8,0.841176,500
500,6,0.65,0.85,0.01,1,0.841625,500
500,6,0.65,0.85,0.01,10,0.840472,321
500,6,0.65,0.85,0.01,24.2726063829787,0.83928,305
500,6,0.65,0.85,0.005,0.8,0.836515,500
500,6,0.65,0.85,0.005,1,0.83756,500
500,6,0.65,0.85,0.005,10,0.840638,477
500,6,0.65,0.85,0.005,24.2726063829787,0.839306,497
500,6,0.75,0.75,0.05,0.8,0.841171,136
500,6,0.75,0.75,0.05,1,0.840957,134
500,6,0.75,0.75,0.05,10,0.840059,71
500,6,0.75,0.75,0.05,24.2726063829787,0.838246,64
500,6,0.75,0.75,0.01,0.8,0.841185,500
500,6,0.75,0.75,0.01,1,0.841153,500
500,6,0.75,0.75,0.01,10,0.84107,274
500,6,0.75,0.75,0.01,24.2726063829787,0.839736,261
500,6,0.75,0.75,0.005,0.8,0.836233,499
500,6,0.75,0.75,0.005,1,0.837276,500
500,6,0.75,0.75,0.005,10,0.841036,497
500,6,0.75,0.75,0.005,24.2726063829787,0.839506,401
500,6,0.75,0.8,0.05,0.8,0.841665,141
500,6,0.75,0.8,0.05,1,0.841442,145
500,6,0.75,0.8,0.05,10,0.839834,71
500,6,0.75,0.8,0.05,24.2726063829787,0.838032,69
500,6,0.75,0.8,0.01,0.8,0.841203,500
500,6,0.75,0.8,0.01,1,0.841326,500
500,6,0.75,0.8,0.01,10,0.840962,261
500,6,0.75,0.8,0.01,24.2726063829787,0.83963,270
500,6,0.75,0.8,0.005,0.8,0.836454,500
500,6,0.75,0.8,0.005,1,0.8375,500
500,6,0.75,0.8,0.005,10,0.840814,499
500,6,0.75,0.8,0.005,24.2726063829787,0.839433,418
500,6,0.75,0.85,0.05,0.8,0.841138,140
500,6,0.75,0.85,0.05,1,0.840806,159
500,6,0.75,0.85,0.05,10,0.839965,82
500,6,0.75,0.85,0.05,24.2726063829787,0.837901,40
500,6,0.75,0.85,0.01,0.8,0.84109,497
500,6,0.75,0.85,0.01,1,0.841298,500
500,6,0.75,0.85,0.01,10,0.840858,264
500,6,0.75,0.85,0.01,24.2726063829787,0.839226,292
500,6,0.75,0.85,0.005,0.8,0.836612,499
500,6,0.75,0.85,0.005,1,0.837432,500
500,6,0.75,0.85,0.005,10,0.840686,500
500,6,0.75,0.85,0.005,24.2726063829787,0.839288,418
500,6,0.85,0.75,0.05,0.8,0.841187,158
500,6,0.85,0.75,0.05,1,0.841239,123
500,6,0.85,0.75,0.05,10,0.840448,73
500,6,0.85,0.75,0.05,24.2726063829787,0.838774,69
500,6,0.85,0.75,0.01,0.8,0.841196,500
